Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
UY32623,California,3593.12645,No,Extended,College,2/5/11,Disabled,F,18213,Suburban,Divorced,96,12,43,1,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A
QV30663,Nevada,9863.502214,No,Extended,Master,2/28/11,Employed,F,99654,Rural,Married,121,13,95,0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,A
MS94619,California,5111.304579,No,Basic,High School or Below,2/13/11,Employed,F,76448,Suburban,Married,63,9,13,0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A
FT56968,Arizona,2590.096027,No,Basic,High School or Below,1/3/11,Employed,M,22398,Suburban,Married,67,,76,,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,A
TX39594,Arizona,2452.491364,No,Basic,High School or Below,1/25/11,Employed,F,51085,Suburban,Married,62,4,58,1,1,Personal Auto,Personal L3,Offer3,Call Center,406.902001,Two-Door Car,Small,nan
GR42174,Oregon,2194.668123,No,Basic,College,1/2/11,Unemployed,M,0,Suburban,Single,62,11,48,0,1,Personal Auto,Personal L3,Offer4,Call Center,623.525433,Four-Door Car,Medsize,nan
XI79589,California,4473.883999,No,Extended,High School or Below,2/16/11,Unemployed,F,0,Suburban,Divorced,125,2,84,0,1,Personal Auto,Personal L1,Offer1,Branch,600,SUV,Medsize,nan
XQ74827,Arizona,19435.62924,No,Extended,High School or Below,2/1/11,Employed,F,38688,Suburban,Single,249,22,6,0,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,A
TW17878,Oregon,2457.576007,No,Basic,High School or Below,1/27/11,Employed,F,52926,Suburban,Married,61,2,92,0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,nan
GB43363,Oregon,6870.607058,No,Premium,College,1/24/11,Unemployed,M,0,Suburban,Single,105,5,87,0,3,Personal Auto,Personal L3,Offer1,Branch,756,Four-Door Car,Small,A
BR69566,,14019.83314,,Basic,College,2/18/11,Employed,M,31739,Suburban,Divorced,71,10,29,0,2,Personal Auto,Personal L3,Offer4,Call Center,469.882367,Two-Door Car,Small,nan
EP83939,Arizona,5575.751228,No,Basic,High School or Below,1/26/11,Employed,M,91416,Rural,Married,69,,39,,5,Personal Auto,Personal L3,Offer2,Call Center,109.904496,Four-Door Car,Medsize,nan
IQ95180,Oregon,5651.396772,No,Basic,Bachelor,1/19/11,Employed,M,44634,Suburban,Married,71,16,99,1,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,A
JX52708,California,4556.068318,No,Basic,Bachelor,2/14/11,Medical Leave,M,25617,Suburban,Divorced,63,22,3,0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A
UF44021,,2108.493744,,Basic,Bachelor,1/2/11,Unemployed,M,0,Suburban,Single,61,8,91,0,1,Personal Auto,Personal L2,Offer1,Agent,351.85681,Two-Door Car,Medsize,nan
AV25133,Oregon,3095.705571,No,Extended,College,1/12/11,Unemployed,F,0,Suburban,Single,92,31,24,1,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small,nan
WL24392,Arizona,5860.16743,No,Basic,Bachelor,2/1/11,Employed,M,94527,Rural,Married,73,16,32,0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,A
LO57874,Oregon,2300.691547,Yes,Basic,Bachelor,1/15/11,Retired,M,25905,Suburban,Divorced,63,21,12,0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,nan
UO54511,California,4950.250892,No,Basic,High School or Below,1/20/11,Employed,F,27400,Suburban,Married,63,14,78,1,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A
KR35099,Washington,7507.455372,Yes,Basic,College,2/6/11,Employed,M,60920,Urban,Single,64,,61,,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,A
NY12562,Nevada,2224.089639,No,Basic,College,1/5/11,Unemployed,F,0,Suburban,Single,64,20,4,0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,A
QG27547,Oregon,2867.312197,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A
PH78214,Oregon,5427.174517,No,Basic,College,2/11/11,Medical Leave,F,27677,Suburban,Married,72,10,82,1,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,nan
LO37570,Arizona,12157.5413,No,Extended,High School or Below,1/7/11,Employed,M,40432,Suburban,Married,77,21,66,0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A
FH81409,California,8152.244431,No,Extended,High School or Below,1/21/11,Unemployed,M,0,Suburban,Single,79,19,70,0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,nan
RW65977,Arizona,2191.133237,No,Basic,College,1/29/11,Unemployed,M,0,Suburban,Single,61,9,16,1,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,nan
LD75023,Oregon,26346.08582,No,Extended,High School or Below,1/20/11,Employed,M,48268,Suburban,Divorced,223,28,26,0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,nan
OZ92426,Oregon,2364.43161,No,Basic,College,1/18/11,Employed,M,46264,Urban,Single,62,17,75,0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,nan
FI17798,California,2710.12066,No,Basic,Doctor,1/11/11,Unemployed,M,0,Suburban,Married,71,7,87,0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,nan
YC54142,Washington,74228.51604,No,Extended,High School or Below,1/26/11,Unemployed,M,0,Suburban,Single,242,1,34,0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,nan
LN28900,California,14687.07959,No,Extended,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,85,3,61,0,2,Personal Auto,Personal L1,Offer1,Web,612,Four-Door Car,Small,A
SX63814,Arizona,9312.585034,No,Premium,High School or Below,2/13/11,Employed,M,75986,Rural,Married,115,11,44,0,3,Personal Auto,Personal L3,Offer3,Call Center,89.119797,Four-Door Car,Medsize,nan
VM85555,California,7750.120323,No,Basic,College,2/23/11,Employed,F,22668,Rural,Single,67,5,34,1,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,A
RO18530,Washington,2540.689797,No,Basic,Master,2/28/11,Employed,M,42557,Rural,Single,65,4,35,0,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large,nan
FR48094,Arizona,2456.816127,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Single,73,15,59,0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A
DY27653,Oregon,3755.806897,No,Extended,High School or Below,1/4/11,Employed,F,56178,Suburban,Married,94,1,39,0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,nan
OH69760,Arizona,5181.054467,No,Basic,College,2/2/11,Unemployed,F,0,Suburban,Married,70,,64,,7,Personal Auto,Personal L1,Offer1,Branch,336,Four-Door Car,Large,nan
CH50584,Oregon,32474.76977,No,Basic,High School or Below,1/22/11,Employed,M,71449,Suburban,Divorced,102,17,7,0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A
WM19996,California,8349.523082,No,Basic,Bachelor,1/9/11,Employed,M,45428,Urban,Divorced,109,,46,,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.273964,SUV,Medsize,A
ZH92587,Oregon,8126.766397,No,Basic,College,2/22/11,Disabled,F,14616,Suburban,Married,107,,73,,3,Personal Auto,Personal L3,Offer1,Agent,513.6,,,nan
CJ51511,Arizona,13466.92071,Yes,Basic,High School or Below,2/23/11,Disabled,F,11432,Suburban,Married,119,,9,,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,,,nan
ME37450,Arizona,5210.348372,No,Basic,Bachelor,1/4/11,Employed,M,89781,Rural,Single,66,7,89,0,5,Special Auto,Special L2,Offer1,Agent,37.960537,,,A
KO86181,Oregon,6941.872931,No,Basic,College,2/11/11,Unemployed,F,0,Suburban,Single,111,3,73,3,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A
KD63933,California,7048.384055,No,Basic,College,2/19/11,Medical Leave,M,24030,Suburban,Single,194,14,0,0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,Medsize,nan
CM66204,Arizona,26770.44534,No,Basic,College,1/23/11,Employed,F,26335,Urban,Married,113,32,7,1,2,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large,nan
NV13794,Nevada,9549.113813,No,Basic,High School or Below,2/9/11,Employed,F,55986,Urban,Married,119,3,60,0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small,nan
HF75891,Washington,4331.460674,No,Basic,High School or Below,2/11/11,Employed,F,82302,Suburban,Married,106,11,92,0,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,nan
NB81923,Washington,7294.492993,No,Basic,College,2/24/11,Unemployed,F,0,Suburban,Single,113,12,66,2,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A
AV96010,Oregon,3289.120863,No,Extended,College,1/29/11,Employed,M,40097,Rural,Single,92,23,35,4,1,Personal Auto,Personal L2,Offer1,Call Center,227.221652,Two-Door Car,Medsize,nan
CA22248,Oregon,2505.42043,No,Basic,Master,2/14/11,Employed,F,60546,Rural,Single,63,21,71,0,1,Personal Auto,Personal L3,Offer2,Branch,46.278027,,,A
PK23339,Arizona,3417.953745,No,Extended,High School or Below,1/25/11,Employed,F,72460,Urban,Married,85,9,76,0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A
JY66887,California,16320.76716,No,Extended,High School or Below,2/27/11,Unemployed,F,0,Suburban,Single,247,5,12,3,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,nan
NH16984,California,2838.067784,No,Extended,Bachelor,2/7/11,Unemployed,F,0,Urban,Divorced,80,30,8,0,1,Personal Auto,Personal L1,Offer1,Web,336.50961,Four-Door Car,Medsize,nan
UV12583,California,4700.583771,No,Basic,College,2/18/11,Employed,F,76694,Suburban,Married,117,34,23,0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A
VG56765,Arizona,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A
AK11669,Arizona,10130.93442,No,Extended,Doctor,1/17/11,Employed,F,59232,Suburban,Divorced,85,6,75,0,2,Corporate Auto,Corporate L3,Offer3,Branch,408,Two-Door Car,Medsize,A
SZ60450,California,3419.108695,No,Extended,High School or Below,2/13/11,Employed,M,40272,Rural,Married,86,8,64,0,1,Personal Auto,Personal L3,Offer3,Agent,23.387192,Two-Door Car,Medsize,nan
MS87381,California,23866.15656,No,Extended,High School or Below,2/14/11,Unemployed,F,0,Suburban,Married,81,27,93,1,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A
LP47259,Arizona,8324.23271,No,Extended,High School or Below,1/1/11,Unemployed,M,0,Suburban,Single,121,,92,,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,A
No31089,Arizona,3179.474225,No,Extended,Bachelor,1/21/11,Employed,F,65742,Urban,Married,79,6,0,0,1,Personal Auto,Personal L3,Offer2,Call Center,277.360797,Four-Door Car,Medsize,nan
SD83603,Oregon,6672.127831,No,Extended,College,2/13/11,Employed,F,56830,Urban,Married,83,,27,,9,Personal Auto,Personal L1,Offer2,Agent,319.799712,Two-Door Car,Medsize,A
TK65222,California,16407.66461,No,Premium,Bachelor,1/12/11,Employed,M,22103,Rural,Single,109,16,31,0,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,nan
HB48073,Arizona,9371.773682,No,Basic,Bachelor,2/1/11,Employed,F,66325,Urban,Married,117,10,10,0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A
DO60145,Arizona,4270.034394,Yes,Extended,College,1/19/11,Unemployed,M,0,Suburban,Married,122,27,2,0,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,nan
BA40043,California,5799.826802,No,Basic,College,1/3/11,Employed,M,60689,Rural,Single,74,29,67,0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.746657,Four-Door Car,Medsize,nan
EC28398,Oregon,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Corporate Auto,Corporate L2,Offer1,Agent,312,Four-Door Car,Small,A
FE99816,Nevada,15563.36944,No,Premium,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,253,15,40,5,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A
HS39343,Washington,7475.784971,No,Basic,Bachelor,1/26/11,Disabled,F,29633,Urban,Married,196,26,57,0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A
GL44478,Oregon,9986.661111,No,Extended,High School or Below,1/22/11,Disabled,M,24067,Suburban,Single,132,12,2,0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,nan
EF84269,California,5568.656492,No,Extended,College,2/21/11,Employed,F,51489,Rural,Married,139,14,10,0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A
RD22761,Washington,20579.69157,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,69,5,26,0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,A
DO41287,Oregon,8276.44416,No,Extended,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,82,29,92,0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A
OO89057,California,4014.332715,No,Extended,Master,2/17/11,Employed,F,54054,Rural,Married,99,7,55,0,1,Personal Auto,Personal L2,Offer2,Branch,5.661684,Four-Door Car,Medsize,nan
DQ92905,Arizona,12989.81806,No,Basic,Bachelor,2/24/11,Unemployed,M,0,Suburban,Single,65,16,3,0,2,Personal Auto,Personal L3,Offer1,Web,312,Four-Door Car,Medsize,nan
EW33419,California,15114.40241,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Corporate Auto,Corporate L2,Offer2,Call Center,480,SUV,Medsize,A
KH16079,Washington,4709.52218,No,Basic,High School or Below,2/12/11,Unemployed,F,0,Suburban,Single,66,17,29,0,3,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,Small,A
GU99037,Oregon,2452.977288,No,Basic,College,2/14/11,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,nan
BM92346,California,3919.366722,Yes,Extended,High School or Below,1/5/11,Employed,F,66676,Suburban,Married,97,0,40,0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,nan
TE60343,,4716.264294,,Basic,High School or Below,2/25/11,Employed,M,25746,Suburban,Married,61,0,84,1,3,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Medsize,A
RU75949,Oregon,12332.51669,No,Basic,College,2/28/11,Employed,M,85789,Rural,Married,105,18,54,2,2,Personal Auto,Personal L1,Offer1,Agent,122.302824,Sports Car,Medsize,nan
PP35705,California,35862.99324,No,Extended,High School or Below,2/26/11,Medical Leave,M,26376,Suburban,Divorced,121,7,19,0,2,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Small,nan
ZM45168,Oregon,2398.354197,No,Basic,College,2/14/11,Disabled,M,14321,Suburban,Single,65,20,72,0,1,Personal Auto,Personal L2,Offer1,Branch,423.823547,Four-Door Car,Medsize,A
SH93005,California,6005.847375,Yes,Extended,College,2/23/11,Retired,M,13528,Suburban,Single,86,21,35,0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize,nan
QK24293,,6265.343299,,Extended,Doctor,1/13/11,Unemployed,F,0,Suburban,Married,84,18,25,1,4,Corporate Auto,Corporate L1,Offer1,Agent,481.025786,Four-Door Car,Medsize,nan
CJ72056,California,8013.895125,No,Basic,Bachelor,1/17/11,Employed,M,65636,Suburban,Married,67,15,72,0,2,Personal Auto,Personal L2,Offer2,Call Center,321.6,Four-Door Car,Medsize,nan
ZY20779,Washington,4979.079933,No,Basic,High School or Below,1/29/11,Unemployed,M,0,Suburban,Single,71,17,57,0,5,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize,nan
BP28492,Arizona,4834.710493,Yes,Basic,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31,69,4,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,A
AN67558,Nevada,3288.209809,No,Basic,College,1/16/11,Unemployed,M,0,Suburban,Single,102,16,1,1,1,Personal Auto,Personal L3,Offer1,Call Center,734.4,SUV,Large,nan
ZJ90079,Arizona,5525.470004,No,Basic,College,2/1/11,Employed,F,64816,Suburban,Married,69,30,33,0,7,Corporate Auto,Corporate L2,Offer3,Agent,331.2,Four-Door Car,Small,nan
